unique_id,age,sex,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,mean_bfi_a,mean_bfi_c,mean_bfi_e,mean_bfi_n,mean_bfi_o,IAT_score,exclusion
442495,37,f,5,6,5,6,5,4,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,5,4,4,4,5,3,5.111111111111111,NA,NA,NA,4.3,-0.1774926027277851,include
439554,37,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,4,2,4,5,4,4,3,3,4,2,4,3,3,1,3,4,2,2,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7777777777777777,3.25,2.875,NA,-0.15763535189865682,include
440148,35,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,4,6,5,4,4,4,3,3,5,4,3,4,3,3,2,3,4,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.555555555555555,3.5,2,NA,-0.28421716729802804,include
446741,38,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,4,4,4,4,3,4,3,3,3,4,4,4,4,2,2,5,3,1,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5555555555555554,3.625,2.875,NA,-0.1956204579698495,include
585230,24,f,4,5,4,4,5,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,6,4,5,3,4,5,4.222222222222222,NA,NA,NA,4.4,-0.5462605844541182,include
448449,60,f,5,4,6,5,6,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,6,4,5,4,6,6,2,5.222222222222222,NA,NA,NA,4.5,0.13462462276688184,include
448828,30,f,3,4,5,4,6,6,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,4,4,4,3,5,4,4.888888888888889,NA,NA,NA,4.1,0.0053780735952797375,include
449383,42,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,3,5,6,5,5,5,3,1,5,5,3,5,2,4,1,2,5,4,1,6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.5,3,NA,-0.6006564398208769,include
449631,32,m,3,4,3,4,4,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,4,5,4,4,3,4,4,3.4444444444444446,NA,NA,NA,4.1,0.20503143993372,include
466546,29,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,6,4,6,5,6,3,2,2,3,4,1,4,2,3,2,2,3,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.777777777777778,2.625,2.25,NA,-0.7744717378784511,include
